time_stamp,distance,price,surge_multiplier,id
1543203647695,4.52,13.5,1.0,2dd4ba63-fa52-4e6a-84d9-298c197f4711
1543207297193,0.52,7.0,1.0,111b7620-776f-4efa-88f2-d2ed09f629db
1543207398281,4.55,22.5,1.5,64cd4016-556b-4443-b43a-59ef3f4917d3
1543209186837,4.39,13.5,1.0,252cb5f1-f544-4cc6-8cb2-36afefb0987f
1543209241978,3.42,16.5,1.5,66ce7850-8dd8-427b-97f1-dac30a76e756
1543210086189,1.03,7.0,1.0,f2817711-e2de-4691-ba1f-955e310e9517
1543210158988,3.43,11.0,1.0,94e7c440-e592-4e1c-98af-317ac7a85bf3
1543212857770,4.59,13.5,1.0,38e33dd9-3dd4-4b43-95d7-f02ba786674a
1543212916104,5.39,13.5,1.0,2221ee6d-85fb-40d2-bd44-fe50d4c1022f
1543212917129,1.26,7.0,1.0,698b41ee-f93f-49ac-bc55-b15cd8edc103
1543212975948,1.22,7.0,1.0,95825db5-4040-4a2f-a964-efdda08b24be
1543213146020,3.8,13.5,1.0,94a945a0-51a4-478b-85c6-5626cf915250
1543213202649,4.56,13.5,1.0,8e860f2f-539a-4668-8805-50e148e482c7
1543213442128,4.26,13.5,1.0,f7efb20a-8283-4181-b7a7-3c845c5e5b1a
1543213442409,1.01,7.0,1.0,5379d058-3d0c-42de-b09a-0924663fa324
1543213502089,1.01,7.0,1.0,85ad346d-1bba-49d3-8fc3-973d9b176a7f
1543213561588,1.27,7.0,1.0,9a6ea37c-487a-4c87-999c-ff0f2d7e3b46
1543213682306,4.42,16.5,1.0,3b8b5c0c-f97e-4172-9af2-549f64b92be7
1543214986026,4.53,13.5,1.0,bab96980-9e9b-4996-beca-334a6cb4452f
1543216695028,0.99,7.0,1.0,f98c7282-a19d-4201-ad94-5bf63b134a46
1543216695199,1.27,7.0,1.0,94260604-dd10-4b2b-90c9-07e0b32ab772
1543216725810,4.57,13.5,1.0,a379896f-d0f3-4472-8ba4-c659342aadf8
1543216981362,1.16,7.0,1.0,fec1371e-d2ce-4a71-a76c-3cf5c756fc94
1543217062813,0.45,9.0,1.25,9cf450f3-f98e-48f1-9783-485f89d2dc1f
1543217097849,1.18,7.0,1.0,a6f7e6ce-246e-4891-80d7-937485cccd88
1543217181207,1.02,7.0,1.0,1c1da26d-9598-49ac-b37f-2b65d662f9c6
1543217353218,3.47,11.0,1.0,ddb3a78c-7160-4130-88d2-51ce0e4983c6
1543218373178,0.99,7.0,1.0,26bd6c5f-64d9-4361-b132-9fbc452b5a78
1543220521183,0.46,7.0,1.0,ad7daa16-3fce-47be-b9ff-0cf0c576b864
1543220521592,5.3,13.5,1.0,b55f1ced-2681-4fb9-90dd-2536cfacb417
1543221247247,0.92,7.0,1.0,8fd1e24b-e392-48c1-a08d-546636bb40ba
1543221247810,4.42,13.5,1.0,6fe650ac-10f4-40fc-9187-225b2aa0ec99
1543223112631,0.43,7.0,1.0,b80c9bd1-08f3-4bef-ae39-fec355e9ab48
1543223470016,3.73,13.5,1.0,705ea342-53f8-469d-934a-48e3a59c07cc
1543223650188,5.45,13.5,1.0,a9c9993a-346a-42ab-b5f6-935cde562e01
1543224010020,4.52,13.5,1.25,4e57bfa8-22c8-49eb-b4e0-9bdba836e5db
1543224370164,3.44,11.0,1.0,9b267048-ee74-4fea-beb7-e269079baff0
1543224552579,4.59,13.5,1.0,a64acd65-a939-4cd2-b8ce-80b9bb0ca697
1543224729940,4.54,13.5,1.0,3dc684ea-be25-47af-80ba-df7544c4b3a9
1543224909557,1.02,7.0,1.0,b807fd1d-04eb-4f69-bc4d-417ae88d2ba3
1543225269956,1.25,7.0,1.0,d1b97698-a0a2-4140-86e9-646f859b7aba
1543225449712,1.02,7.0,1.0,ae795209-c978-410e-9f47-beaf0005c1cf
1543225629629,0.43,7.0,1.0,ffca8d80-0259-4521-ad1d-71bc9c9c3ca0
1543225809447,1.1,7.0,1.0,e11ffc00-3252-4470-8e92-dcbc93301638
1543225809864,4.55,16.5,1.25,847a4eb3-fdfd-4a8c-92d9-fa46ccc31639
1543227069686,3.21,13.5,1.0,d19823a7-1e58-4dad-a88b-bc41f0adce3b
1543227069993,5.41,13.5,1.0,0518521e-8797-462c-85dd-75ff5f2551e5
1543227250321,4.57,11.0,1.0,4aa980ee-153a-4ff2-a5c8-1c15293054d3
1543227430239,5.38,13.5,1.0,72f8f411-2d69-475e-9ffa-238c351148c1
1543227609660,4.53,13.5,1.0,e135f04e-f836-4c1d-9047-3f2532810b8d
1543227969921,4.49,16.5,1.0,7f6e05a3-5286-42e7-bebe-5843122baf82
1543228149512,4.54,13.5,1.0,b8b845e6-3d0e-4b08-974e-3e1f52deb2ef
1543228149560,3.71,13.5,1.0,f83a63f5-e90d-4ebc-b69d-0bb2ab4906a2
1543228329836,1.24,7.0,1.0,42136851-36aa-46aa-9f1c-07791ff0d64c
1543228329981,3.76,13.5,1.0,a2cb743e-8962-4d13-a737-24164437f7c4
1543228329981,4.51,13.5,1.0,1a39e452-7986-43f5-8330-768d1fc55a38
1543228509880,5.28,13.5,1.0,1c616ae4-d9b4-43c1-8417-550470674c56
1543228689966,4.59,13.5,1.0,98daf561-e208-409b-9761-0f32fd6bc138
1543228690068,5.36,13.5,1.0,9a5181d0-54e4-44ed-8295-2d700e10b8ff
1543229589601,4.6,13.5,1.0,97f83552-116d-4488-8d87-5fe98017c0eb
1543230129940,0.46,7.0,1.0,19fcaa54-9b89-48a3-b258-f83888a08b3c
1543230130044,1.26,7.0,1.0,99a52420-dd15-4a3e-9435-f681aa10160e
1543230309591,0.95,7.0,1.0,3ee03999-109f-4f04-8b58-f98a927158e8
1543230309636,5.22,13.5,1.0,a25d54b1-1219-4188-b135-76ed38a81439
1543230489758,3.44,11.0,1.0,a5849d5f-47b8-463b-b171-564555bc145a
